Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Orai,Uttar Pradesh,Jalaun,CGWB,2018-11-30,3.49,25.98333333,79.46666667,2
Pachperwa,Uttar Pradesh,Balrampur,CGWB,2018-11-30,0.7,27.52166667,82.66666667,2
Painapur,Uttar Pradesh,Moradabad,CGWB,2018-11-30,2.17,29.11666667,78.75000000,2
Paintha (Govardhan),Uttar Pradesh,Mainpuri,CGWB,2018-11-30,2.99,27.48166667,77.46833333,2
Pakaria,Uttar Pradesh,Shrawasti,CGWB,2018-11-30,2.72,27.69722222,81.71250000,2
Paldi Pz GWD,Uttar Pradesh,Muzaffarnagar,CGWB,2018-11-30,18.8,29.35000000,77.54166667,2
Pali1,Uttar Pradesh,Sant Ravidas Nagar,CGWB,2018-11-30,11.23,25.37916667,82.42500000,2
Parikshat Garh Pz,Uttar Pradesh,Meerut,CGWB,2018-11-30,8.22,28.97777778,77.93611111,2
Parsa gondri,Uttar Pradesh,Gonda,CGWB,2018-11-30,3.1,27.12222222,81.80500000,2
Pasna,Uttar Pradesh,Allahabad,CGWB,2018-11-30,2.81,25.04583333,82.10000000,2
Phulpur2,Uttar Pradesh,Praygraj,CGWB,2018-11-30,6.15,25.55277778,82.09166667,2
Pilibhit Pz GWD,Uttar Pradesh,Pilibhit,CGWB,2018-11-30,1.65,28.62500000,79.81250000,2
Piparpur,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,6.82,26.14333333,82.03333333,2
Pratap Pur Kamaicha (PZ GWD),Uttar Pradesh,Sultanpur,CGWB,2018-11-30,9.92,26.07138889,82.30277778,2
Pratapur,Uttar Pradesh,Shrawasti,CGWB,2018-11-30,2.38,27.86194444,81.76916667,2
Pratushmanik,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,4.12,26.23333333,81.91000000,2
Punch,Uttar Pradesh,Jhansi,CGWB,2018-11-30,3.32,25.81888889,79.04555556,2
Puredalai PZ (GWD),Uttar Pradesh,Barabanki,CGWB,2018-11-30,5.1,26.90666667,81.62416667,2
Purjagir,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,14.08,25.18138889,82.54166667,2
Purwa,Uttar Pradesh,Unnao,CGWB,2018-11-30,3.23,26.45972222,80.78194444,2
Purwa amarsingh,Uttar Pradesh,Barabanki,CGWB,2018-11-30,1.93,27.13611111,81.39444444,2
RAHIMABAD,Uttar Pradesh,Lucknow,CGWB,2018-11-30,6.37,26.97083333,80.60000000,2
Raja bazar,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,6.64,25.90000000,82.31666667,2
Rajepur,Uttar Pradesh,Farrukhabad,CGWB,2018-11-30,1.8,27.48333333,79.66388889,2
